,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
0,0.0,42.0,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",FALSE,FALSE,30,4,26,OPEN,1620627725000,,,,,,,
1,1.0,30.0,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.353462, 'lng': -6.265305}",FALSE,FALSE,20,15,5,OPEN,1620627531000,,,,,,,
2,2.0,54.0,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",FALSE,FALSE,33,28,5,OPEN,1620627829000,,,,,,,
3,3.0,108.0,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",FALSE,FALSE,40,22,18,OPEN,1620627510000,,,,,,,
4,4.0,56.0,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",FALSE,FALSE,40,12,28,OPEN,1620627683000,,,,,,,
5,5.0,6.0,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",FALSE,FALSE,20,20,0,OPEN,1620627695000,,,,,,,
6,6.0,18.0,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",FALSE,FALSE,30,21,9,OPEN,1620627728000,,,,,,,
7,7.0,32.0,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",FALSE,FALSE,30,10,20,OPEN,1620627627000,,,,,,,
8,8.0,52.0,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",FALSE,FALSE,32,18,14,OPEN,1620627277000,,,,,,,
9,9.0,48.0,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",FALSE,FALSE,40,18,22,OPEN,1620627483000,,,,,,,
10,10.0,13.0,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",FALSE,FALSE,30,23,7,OPEN,1620627578000,,,,,,,
11,11.0,43.0,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",FALSE,FALSE,30,15,15,OPEN,1620627593000,,,,,,,
12,12.0,31.0,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",FALSE,FALSE,20,8,12,OPEN,1620627333000,,,,,,,
13,13.0,98.0,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",FALSE,FALSE,40,34,6,OPEN,1620627460000,,,,,,,
14,14.0,23.0,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",FALSE,FALSE,30,19,11,OPEN,1620627719000,,,,,,,
